x_mm,y_mm
455.800,110.200
461.200,110.200
461.200,104.800
455.800,104.800
455.800,99.400
461.200,99.400
461.200,94.000
455.800,94.000
455.800,88.600
461.200,88.600
461.200,83.200
455.800,83.200
455.800,77.800
461.200,77.800
461.200,72.400
455.800,72.400
455.800,67.000
461.200,67.000
455.800,61.600
455.800,56.200
450.400,56.200
445.000,56.200
439.600,56.200
439.600,50.800
445.000,50.800
450.400,50.800
445.000,45.400
439.600,45.400
434.200,45.400
428.800,45.400
428.800,50.800
434.200,50.800
434.200,40.000
428.800,40.000
396.400,142.600
358.600,142.600
358.600,137.200
358.600,131.800
358.600,126.400
353.200,126.400
347.800,126.400
347.800,131.800
347.800,137.200
353.200,137.200
353.200,131.800
353.200,142.600
347.800,142.600
250.600,94.000
245.200,94.000
239.800,94.000
234.400,94.000
229.000,94.000
229.000,88.600
229.000,83.200
234.400,83.200
234.400,88.600
239.800,88.600
245.200,88.600
245.200,83.200
239.800,83.200
239.800,77.800
245.200,77.800
245.200,72.400
239.800,72.400
234.400,72.400
234.400,77.800
229.000,77.800
229.000,72.400
223.600,72.400
223.600,67.000
223.600,61.600
223.600,56.200
218.200,56.200
212.800,56.200
212.800,61.600
218.200,61.600
218.200,67.000
229.000,67.000
229.000,61.600
229.000,56.200
234.400,56.200
234.400,61.600
234.400,67.000
239.800,67.000
245.200,67.000
245.200,61.600
239.800,61.600
239.800,56.200
234.400,50.800
229.000,50.800
223.600,50.800
223.600,45.400
218.200,45.400
212.800,45.400
212.800,50.800
218.200,50.800
207.400,50.800
207.400,45.400
202.000,45.400
202.000,50.800
202.000,56.200
196.600,56.200
191.200,56.200
185.800,56.200
180.400,56.200
180.400,61.600
180.400,67.000
180.400,72.400
180.400,77.800
180.400,83.200
180.400,88.600
180.400,94.000
180.400,99.400
180.400,104.800
180.400,110.200
180.400,115.600
180.400,121.000
175.000,121.000
175.000,115.600
175.000,110.200
169.600,110.200
169.600,115.600
164.200,115.600
158.800,115.600
158.800,110.200
164.200,110.200
164.200,104.800
158.800,104.800
158.800,99.400
164.200,99.400
169.600,99.400
169.600,104.800
175.000,104.800
175.000,99.400
175.000,94.000
169.600,94.000
164.200,94.000
158.800,94.000
158.800,88.600
164.200,88.600
164.200,83.200
158.800,83.200
158.800,77.800
164.200,77.800
164.200,72.400
158.800,72.400
158.800,67.000
164.200,67.000
164.200,61.600
158.800,61.600
158.800,56.200
164.200,56.200
169.600,56.200
169.600,61.600
169.600,67.000
169.600,72.400
169.600,77.800
169.600,83.200
169.600,88.600
175.000,88.600
175.000,83.200
175.000,77.800
175.000,72.400
175.000,67.000
175.000,61.600
175.000,56.200
175.000,50.800
175.000,45.400
175.000,40.000
169.600,40.000
169.600,45.400
169.600,50.800
164.200,50.800
158.800,50.800
158.800,45.400
164.200,45.400
164.200,40.000
158.800,40.000
180.400,40.000
180.400,45.400
180.400,50.800
185.800,50.800
191.200,50.800
191.200,45.400
185.800,45.400
185.800,40.000
191.200,40.000
196.600,40.000
196.600,45.400
196.600,50.800
202.000,40.000
207.400,56.200
207.400,61.600
250.600,72.400
250.600,77.800
250.600,83.200
250.600,88.600
